customer_tweet_id,customer_message,previous_message,has_context,intent,notes
611285.0,Hey @115858 how can Siri really be my personal assistant if it won't integrate into 3rd party apps why can't I have it play Spotify where is the functionality?,,False,apple_services,Siri/Spotify third-party app integration issue
400853.0,@AppleSupport Was able to help him via iTunes. Still weird the OTA didn’t work,@210813 Let us know if the update has issues through iTunes.,True,ios_update,OTA update failed; iTunes update worked
1099710.0,@379507 @AppleSupport Having the same issue.,"@AppleSupport iOS 11.0.3. 2 different iPhone 7s in my family, multiple iPads too. Enter address in Maps &amp; driving directions fail to load—endless spinner.",True,apple_services,Apple Maps directions fail to load
1342708.0,Hey @AppleSupport iOS11 update made my $900 iPad Pro unusable. The battery lasts 1/2 day even if just sitting there in airplane mode. #SUCKS,,False,battery_charging,Battery drain is the primary issue after iOS update
1687712.0,"Good afternoon, @AppleSupport! It’s always some shit with y’all and these iPhone updates, huh? https://t.co/cGR2qXnGNA",,False,ios_update,Complaint specifically about iPhone updates
1121644.0,@AppleSupport App is shutting down randomly and unexpectedly,@384569 Is WhatsApp the only app having an issue?,True,apps_app_store,App is shutting down unexpectedly
1747356.0,Is anyone else having problems downloading and updating apps? Lie your password is right but it’s just not doing it? @AppleSupport,,False,apps_app_store,Cannot download or update apps
2119414.0,"So wtf y’all gon do about this I situation, @115858? Cuz I’m sick of sick this damn A n shit. 😒",,False,display_input,Typing/input problem involving the letter I
1983621.0,"@AppleSupport hey why is the remove episode option gone from the podcast app, subscribed podcasts keep popping up after I delete them",,False,apps_app_store,Podcast app functionality issue
323849.0,@AppleSupport my phone battery has just gone from 50% - 34% in 15 mins???,,False,battery_charging,Rapid battery drain
1221923.0,"@AppleSupport I recorded a 2 minute video, about half way the audio cut out",@231135 We'd love to help. What sort of behavior are you seeing when you try?,True,audio,Audio cuts out during video recording
753922.0,@AppleSupport not only does my phone restart netime I use the front camera but now my phone buzzes on calls. It’s updated. #iphone8plus,,False,camera_photos,Front camera causes phone restart
2873394.0,@115858 can you do another update my shit keeps freezing.. what happens when I inevitably need to call 911 and this shit doesn’t work? Do I do cpr myself with the phone? Or just Lost it and hit myself in the ducking heart hella times til I come back to life,,False,ios_update,Requests another update to fix freezing
87015.0,"@115858 @AppleSupport I urgently request an option (toggle) to force the ringtone to always additionally be played via internal speaker even when headsets or other devices are connected.
I like to have my phone lying around with speakers connected, dont like to miss calls.",,False,audio,Ringtone/speaker behavior with connected devices
400851.0,@AppleSupport  since updating to the useless software. Screen keeps auto rotating. Sort it out,,False,display_input,Screen automatically rotates
517208.0,"Wow was on hold for like 10 min with @AppleSupport and they hung up on me , been tryin to recover my Apple ID password all week 😒😒",,False,account_authentication,Apple ID password recovery
2487173.0,"@AppleSupport  my rear camera is crashingg as i updated to ios 11.1😞😞nothing wrong wiz hardware btw..
Iphone 6 plus,..
Thanks https://t.co/lNZRWMWh7s",,False,camera_photos,Rear camera crashes after iOS update
2454594.0,Me eternally waiting for my iPhone to do ANYTHING after updating to #iOS11 @115858 #SLOWAF https://t.co/u0AMexe1Ug,,False,ios_update,Severe slowdown after iOS 11 update
61347.0,"@AppleSupport Yeah But Half My Apps Disapear &amp;Or Don’t Show (Since IOS11),Even Right After I Downloaded Them,It’s Random,But App Store Randomly Seems To Hide/Show Purchases",Accidentally deleted an app? Here's how to find and reinstall your purchased apps in iOS 11. https://t.co/wvOgLJh2Kz,True,apps_app_store,Apps/App Store purchases disappearing
2036530.0,Hey @AppleSupport is there a way to un-Update my phone? Your new update killed my battery.,,False,battery_charging,Battery drain after update
146553.0,@115858 @4792 CarPlay and iPhoneX and the 2017 M240i don‘t work together. When is a fix for that coming?,,False,connectivity,CarPlay/iPhone/car connection issue
109014.0,Apple turkey organization can not solve a problem in 3 months @115858,,False,other_unclear,Generic unresolved support complaint
