customer_tweet_id,customer_message,true_intent,predicted_intent,classifier_margin,top_similarity,draft_reply,evidence_used,escalate,escalation_reason,source,previous_message,has_context,intent,model_text,correct,auto_handled,id_str
611285.0,Hey @115858 how can Siri really be my personal assistant if it won't integrate into 3rd party apps why can't I have it play Spotify where is the functionality?,apple_services,apple_services,1.5033,0.7006,We understand wanting Siri to work with your favorite apps. Let's look into this together. Please send us a DM so we can help.,"[""Historical responses consistently direct customers to DM when they have questions or feedback regarding Siri's integration with third-party apps and general functionality.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
400853.0,@AppleSupport Was able to help him via iTunes. Still weird the OTA didn’t work,ios_update,ios_update,1.528,0.7262,"We're glad you were able to complete the update using iTunes. To help us look into why the over-the-air update didn't work, did you see any specific error messages? If you'd like to troubleshoot this further, send us a DM.","""Acknowledged the successful iTunes update and asked about specific error messages during the failed OTA update, offering to continue in DM for further troubleshooting based on historical patterns of gathering error details and moving to DM for unresolved update issues.""",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
1099710.0,@379507 @AppleSupport Having the same issue.,apple_services,apple_services,1.3968,0.9835,"We'd like to look into this concern with you. Send us a DM with the details, and we'll continue there. https://t.co/GDrqU22YpT","[""Historical responses consistently invite the customer to DM to share details or device information so Apple Support can look into the concern.""]",True,The customer message does not provide enough specific information.,already_generated,,,,,,,
1342708.0,Hey @AppleSupport iOS11 update made my $900 iPad Pro unusable. The battery lasts 1/2 day even if just sitting there in airplane mode. #SUCKS,battery_charging,battery_charging,1.4519,0.7644,We'd be happy to look into this with you. Please meet us in DM so we can gather some more information and better assist. https://t.co/GDrqU22YpT,"[""Historical responses to iPad battery issues after the iOS 11 update consistently invite the customer to DM to gather more details and provide personalized assistance.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
1687712.0,"Good afternoon, @AppleSupport! It’s always some shit with y’all and these iPhone updates, huh? https://t.co/cGR2qXnGNA",ios_update,ios_update,1.3934,0.8402,"We're here to help. What kind of issues are you experiencing since updating? Send us a DM with the details, and we'll work on a solution together. https://t.co/GDrqU22YpT","[""Historical responses consistently ask the customer what specific issues they are experiencing after the update and invite them to DM for further assistance using a specific link.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
1121644.0,@AppleSupport App is shutting down randomly and unexpectedly,apps_app_store,apps_app_store,1.5746,0.8624,Thanks for reaching out. We'd like to help with this. Can you let us know which device model and iOS version you are using? Please send us a DM so we can continue. https://t.co/GDrqU22YpT,"[""Historical responses consistently ask for the device model and iOS version, and direct the customer to DM for further assistance.""]",True,The customer message does not provide enough specific information.,already_generated,,,,,,,
1747356.0,Is anyone else having problems downloading and updating apps? Lie your password is right but it’s just not doing it? @AppleSupport,apps_app_store,apps_app_store,1.3983,0.7833,"We'd be happy to look into this with you! To help us get started, what device and software version are you using? Also, does this happen on both Wi-Fi and cellular data?","[""Historical responses frequently ask for the device model, OS/iOS version, and whether the issue occurs on both Wi-Fi and cellular data.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
2119414.0,"So wtf y’all gon do about this I situation, @115858? Cuz I’m sick of sick this damn A n shit. 😒",display_input,display_input,0.9919,0.8104,"An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6","[""Suggested updating the device to iOS 11.1.1 to resolve the 'I' autocorrect issue as shown in historical response 4.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
1983621.0,"@AppleSupport hey why is the remove episode option gone from the podcast app, subscribed podcasts keep popping up after I delete them",apps_app_store,apps_app_store,1.4296,0.8396,We'd like to help. Does this issue with deleted episodes reappearing occur with all podcasts or a specific one? Please meet us in DM so we can look into this further.,"[""Identified a pattern where Apple Support asks if the issue occurs with all or specific podcasts and invites the customer to DM to troubleshoot further when deleted episodes keep reappearing.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,
1605041.0,"Hi @AppleSupport ,Apple Watch 3 has bug, restarts when you ask Siri on weather.please address this",device_hardware,apple_services,0.0105132103284141,0.8831712007522583,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,device_hardware,"Hi @AppleSupport ,Apple Watch 3 has bug, restarts when you ask Siri on weather.please address this",False,False,1605041.0
1752320.0,Hey .@115858 - how about you fix the I️ glitch - I️ mean - I️t’s not like I️ use the letter I️ every time I type!!!,display_input,display_input,1.4187250611202562,0.8824853301048279,,,False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,Hey .@115858 - how about you fix the I️ glitch - I️ mean - I️t’s not like I️ use the letter I️ every time I type!!!,True,True,1752320.0
2913352.0,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,apple_services,ios_update,0.0014964097780072,0.914628267288208,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,apple_services,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,False,False,2913352.0
2276968.0,Hey @115858 it’s really hard to sound serious when yelling at a company through message and every other word is I️  ...Get your shit together please. Me at least want to look intellectual whilst yelling.,display_input,display_input,0.3412153305656299,0.595966100692749,,,True,No sufficiently similar historical support case was retrieved.,to_generate,,False,display_input,Hey @115858 it’s really hard to sound serious when yelling at a company through message and every other word is I️  ...Get your shit together please. Me at least want to look intellectual whilst yelling.,True,False,2276968.0
2799435.0,@115858 @6990 why isn’t FaceTime working right now? I need to see @107462 face 😭😭😭,apple_services,connectivity,0.009491710406241,0.8978433609008789,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,apple_services,@115858 @6990 why isn’t FaceTime working right now? I need to see @107462 face 😭😭😭,False,False,2799435.0
2710516.0,Anyone know how to covert an existing iCloud account to a child account? My kids would hate to lose any game data. cc @AppleSupport,account_authentication,account_authentication,0.7881452816248701,0.6076396703720093,,,True,No sufficiently similar historical support case was retrieved. The issue may require account- or device-specific investigation.,to_generate,,False,account_authentication,Anyone know how to covert an existing iCloud account to a child account? My kids would hate to lose any game data. cc @AppleSupport,True,False,2710516.0
1761253.0,HOW COME WHENEVER I️ TYPE THE LETTER I️ IT DOES THIS QUESTIONS MARK BULLLLSHIT @123765 @115858,display_input,display_input,1.1456075948037934,0.8072870969772339,,,False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,HOW COME WHENEVER I️ TYPE THE LETTER I️ IT DOES THIS QUESTIONS MARK BULLLLSHIT @123765 @115858,True,True,1761253.0
1819155.0,"@115858 the new update is ass. GPS doesn’t work, music controls don’t work, Apple Watch won’t connect, speaker phone doesn’t work.",device_hardware,apple_services,0.0088178167268152,0.7557592988014221,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,device_hardware,"@115858 the new update is ass. GPS doesn’t work, music controls don’t work, Apple Watch won’t connect, speaker phone doesn’t work.",False,False,1819155.0
1597353.0,Can someone tell me why my tweet looks like this??? @115858 b/c I️ just updated my phone twice .. #replytweet some1 https://t.co/qZ4cyQwvQG,display_input,audio,0.0125533243482225,0.8007990717887878,,,True,The intent classifier is not sufficiently confident.,to_generate,I️ just spent 15 minutes doing my eyebrows for work tonight .. I️ better make $300,True,display_input,Previous message: I️ just spent 15 minutes doing my eyebrows for work tonight .. I️ better make $300 Customer message: Can someone tell me why my tweet looks like this??? @115858 b/c I️ just updated my phone twice .. #replytweet some1 https://t.co/qZ4cyQwvQG,False,False,1597353.0
511125.0,@AppleSupport help I got a green line on the left side of my iPhone X screen and restarting it doesn’t make it go away,display_input,apple_services,0.0039413775680018,0.9204666018486024,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,display_input,@AppleSupport help I got a green line on the left side of my iPhone X screen and restarting it doesn’t make it go away,False,False,511125.0
174978.0,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable",apps_app_store,apps_app_store,0.0828441119458763,0.6056705713272095,,,True,The intent classifier is not sufficiently confident. No sufficiently similar historical support case was retrieved.,to_generate,,False,apps_app_store,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable",True,False,174978.0
1890537.0,"@115858 please say your developers are hard at work on iOS 11.0.4 so that my headphones, charger and volume buttons work again, ughhhh 🙄🙄🙄🙄🙄",audio,apple_services,0.0092618033063077,0.8073241114616394,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,audio,"@115858 please say your developers are hard at work on iOS 11.0.4 so that my headphones, charger and volume buttons work again, ughhhh 🙄🙄🙄🙄🙄",False,False,1890537.0
34645.0,@AppleSupport It's 10.3.3. Although I'm convinced it's a screen issue rather than a software one.,display_input,ios_update,0.0127603244114712,0.8001580834388733,,,True,The intent classifier is not sufficiently confident.,to_generate,@123511 We're happy to help. What version of iOS are you currently running? Find that in Settings &gt; General &gt; About.,True,display_input,Previous message: @123511 We're happy to help. What version of iOS are you currently running? Find that in Settings &gt; General &gt; About. Customer message: @AppleSupport It's 10.3.3. Although I'm convinced it's a screen issue rather than a software one.,False,False,34645.0
1659223.0,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",account_authentication,apple_services,0.015068722566164,0.7904198169708252,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,account_authentication,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",False,False,1659223.0
2942896.0,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,display_input,display_input,1.2444074316617535,0.9245994091033936,,,False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,True,True,2942896.0
1866369.0,@AppleSupport @115948 Here are my Apple Music settings: https://t.co/QxyWJRJN8S,apple_services,ios_update,0.0004791844812881,0.8289468884468079,,,True,The intent classifier is not sufficiently confident.,to_generate,@AppleSupport I'm needing help with @115948 after installing iOS 11: https://t.co/6DvDlKXpqz,True,apple_services,Previous message: @AppleSupport I'm needing help with @115948 after installing iOS 11: https://t.co/6DvDlKXpqz Customer message: @AppleSupport @115948 Here are my Apple Music settings: https://t.co/QxyWJRJN8S,False,False,1866369.0
2467693.0,"@AppleSupport Not sure, it def happens when not plugged in. Never replaced screen. Seems it's a common issue/bug w the update",display_input,display_input,0.0098799652152892,0.7751496434211731,,,True,The intent classifier is not sufficiently confident.,to_generate,"@142811 Thanks for clarifying for us. Does it happen when plugged in? Also, has the screen ever been replaced?",True,display_input,"Previous message: @142811 Thanks for clarifying for us. Does it happen when plugged in? Also, has the screen ever been replaced? Customer message: @AppleSupport Not sure, it def happens when not plugged in. Never replaced screen. Seems it's a common issue/bug w the update",True,False,2467693.0
1545207.0,@115858 I want my fucking picture back pull it up on iCloud I don't fuck know figure it the fuck out now cause I'm fucking PISSED!,icloud_backup,account_authentication,0.0114776186800429,0.8293472528457642,,,True,The intent classifier is not sufficiently confident. The issue may require account- or device-specific investigation.,to_generate,,False,icloud_backup,@115858 I want my fucking picture back pull it up on iCloud I don't fuck know figure it the fuck out now cause I'm fucking PISSED!,False,False,1545207.0
2728298.0,@AppleSupport I have iPhone 7 ios 11 some of my old videos doesn’t work. Keep lodging. I transfer them from old phone to new one using iTunes and icloud backup.,camera_photos,apple_services,0.017528904089096,0.710408091545105,,,True,The intent classifier is not sufficiently confident.,to_generate,,False,camera_photos,@AppleSupport I have iPhone 7 ios 11 some of my old videos doesn’t work. Keep lodging. I transfer them from old phone to new one using iTunes and icloud backup.,False,False,2728298.0
35981.0,@AppleSupport I don’t see the strength training goal option like in the video on my Apple Watch S2,device_hardware,device_hardware,0.2162559530125122,0.6382959485054016,,,True,The intent classifier is not sufficiently confident. No sufficiently similar historical support case was retrieved. The issue may require account- or device-specific investigation.,to_generate,"#AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2",True,device_hardware,"Previous message: #AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2 Customer message: @AppleSupport I don’t see the strength training goal option like in the video on my Apple Watch S2",True,False,35981.0
2287872.0,@AppleSupport The “done” button will not let me select my picture. It’s covered in the top right corner of the phone with the battery and wifi icons. It gets stuck and I have to close out the app.,display_input,battery_charging,0.0176272220172384,0.7138677835464478,,,True,The intent classifier is not sufficiently confident.,to_generate,@664705 What's happening when you try to change your profile picture?,True,display_input,Previous message: @664705 What's happening when you try to change your profile picture? Customer message: @AppleSupport The “done” button will not let me select my picture. It’s covered in the top right corner of the phone with the battery and wifi icons. It gets stuck and I have to close out the app.,False,False,2287872.0
