customer_tweet_id,customer_message,previous_message,intent,predicted_intent,margin
1545207.0,@115858 I want my fucking picture back pull it up on iCloud I don't fuck know figure it the fuck out now cause I'm fucking PISSED!,,icloud_backup,display_input,0.0004670259269194954
1484796.0,"@115858 you really need to fix this update or something because every time me and my friend try to FaceTime or call, the other person doesn’t get any notification for it at all and I’m gonna scream",,connectivity,apple_services,0.0008970090865437208
2287872.0,@AppleSupport The “done” button will not let me select my picture. It’s covered in the top right corner of the phone with the battery and wifi icons. It gets stuck and I have to close out the app.,@664705 What's happening when you try to change your profile picture?,display_input,battery_charging,0.0020833927158159238
2454594.0,Me eternally waiting for my iPhone to do ANYTHING after updating to #iOS11 @115858 #SLOWAF https://t.co/u0AMexe1Ug,,ios_update,connectivity,0.003426951389150612
1429806.0,"@AppleSupport I want to save Photos or Pages or Numbers files. After selecting a file, 'Save to Files' -&gt; 'On My iPad' is not available. Please help.",@452066 Please follow the steps in this support article for accessing .pdf files on your iPad: https://t.co/G7W7iUWW6p,apps_app_store,account_authentication,0.003911704890304013
242660.0,There is still terrible lag with 3D Touch in iOS 11.0.2 @115858 hard to see in video but it’s definitely noticeable. #lag https://t.co/InTFP8shUU,,display_input,apple_services,0.004265144194250392
756482.0,@AppleSupport Ios11 make my iphone se battery   like shit.,"Play the music you love, right from your Apple Watch. Here's how to add playlists and albums in watchOS 4
Learn more https://t.co/AT5kfmYtDh https://t.co/IiLTio7CoA",battery_charging,device_hardware,0.007485726351187105
1626579.0,"@AppleSupport makes me want to switch to @117159, just took a screen shot on my iPhone and it deleted all my photos... great",,camera_photos,display_input,0.01725875692421397
2913352.0,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,,apple_services,account_authentication,0.01923016753738438
2503732.0,@AppleSupport I went on iTunes and re downloaded it and it still isn’t in my library. I turned my phone off for 1 hour then back on again and still nothing.,@711875 We want to help. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again.,apple_services,apps_app_store,0.02079170996760138
1220054.0,@AppleSupport Thats for my shipping address. That error is from the app. That error dont let me preorder last year and want to fix,@406245 Let's see what's going on with that setup. Which device are you entering this information on?,apps_app_store,display_input,0.02228621557914723
1890537.0,"@115858 please say your developers are hard at work on iOS 11.0.4 so that my headphones, charger and volume buttons work again, ughhhh 🙄🙄🙄🙄🙄",,audio,apple_services,0.02375075380885938
2728298.0,@AppleSupport I have iPhone 7 ios 11 some of my old videos doesn’t work. Keep lodging. I transfer them from old phone to new one using iTunes and icloud backup.,,camera_photos,apple_services,0.02407602298065692
2467693.0,"@AppleSupport Not sure, it def happens when not plugged in. Never replaced screen. Seems it's a common issue/bug w the update","@142811 Thanks for clarifying for us. Does it happen when plugged in? Also, has the screen ever been replaced?",display_input,audio,0.025012324273115616
2744221.0,"@AppleSupport every time I open Twitter my music shuts off and won’t let me use both at same time... assistance please, iPhone X",,apple_services,connectivity,0.02525107252727704
724195.0,"@AppleSupport On wifi it’s not working, but on celular data it’s working !",@293441 Let's team up on this. Have you tried downloading on Wi-Fi and cellular? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT,connectivity,apps_app_store,0.029072346202125177
308550.0,"Completely fed up with bluetooth issues in iOS 11 - @115858, sort them out!",,connectivity,display_input,0.029640488052260605
1221923.0,"@AppleSupport I recorded a 2 minute video, about half way the audio cut out",@231135 We'd love to help. What sort of behavior are you seeing when you try?,audio,display_input,0.029961162484315684
804914.0,@AppleSupport again your 11.0.3 version is not good my same problem hang during dial the call,,connectivity,other_unclear,0.030112674175418297
1659223.0,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",,account_authentication,apple_services,0.03632930705708792
